name
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='德州理工大学 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='辛辛那提大学 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='爱荷华大学 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='九州大学 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='哥廷根大学 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='犹他大学 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='纽约市 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='北京理工大学 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='约克大学（英国） '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='厦门大学 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='斯特林大学 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='哈德斯菲尔德大学 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='渥太华大学 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='南佛罗里达大学 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='爱荷华州立大学 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='罗格斯大学纽华克分校 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='阿伯丁大学 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='南卫理公会大学 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='魁北克大学 '>"
"<Selector xpath='//div[""@wikiContent""]/h1[""wikiTitle""][1]/text()' data='克莱蒙森大学 '>"
